"행정구역","2026년03월_총인구수","2026년03월_세대수","2026년03월_세대당 인구","2026년03월_남자 인구수","2026년03월_여자 인구수","2026년03월_남여 비율"
"서울특별시  (1100000000)","9,304,400","4,520,137","          2.06","4,480,938","4,823,462","          0.93"
"서울특별시 강남구 (1168000000)","554,165","244,970","          2.26","264,616","289,549","          0.91"
"서울특별시 강남구 신사동(1168051000)","14,980","6,534","          2.29","6,998","7,982","          0.88"
"서울특별시 강남구 역삼1동(1168064000)","34,113","23,824","          1.43","16,729","17,384","          0.96"
"서울특별시 강남구 역삼2동(1168065000)","35,980","15,600","          2.31","16,736","19,244","          0.87"
"서울특별시 강남구 삼성1동(1168058000)","12,742","5,529","          2.30","6,181","6,561","          0.94"
"서울특별시 강남구 압구정동(1168054500)","25,478","9,940","          2.56","11,833","13,645","          0.87"
"서울특별시 강남구 청담동(1168056500)","26,088","11,385","          2.29","12,160","13,928","          0.87"
