업종,시도,시군구,당월,전월,전년동월
커피음료점,서울특별시,강남구,1375,1371,1399
한식음식점,서울특별시,강남구,4490,4486,4458
제과점,서울특별시,강남구,359,360,368
간이주점,서울특별시,강남구,150,150,162
미용실,서울특별시,강남구,1533,1543,1505
부동산중개업,서울특별시,강남구,5130,5092,5156
편의점,서울특별시,강남구,675,681,712
노래방,서울특별시,강남구,184,186,189
pc방,서울특별시,강남구,55,54,58
커피음료점,서울특별시,서초구,867,863,870
커피음료점,서울특별시,마포구,1342,1351,1441
