"행정구역","2026년03월_계_총인구수","2026년03월_계_연령구간인구수","2026년03월_계_0~9세","2026년03월_계_10~19세","2026년03월_계_20~29세","2026년03월_계_30~39세","2026년03월_계_40~49세","2026년03월_계_50~59세","2026년03월_계_60~69세","2026년03월_계_70~79세","2026년03월_계_80~89세","2026년03월_계_90~99세","2026년03월_계_100세 이상","2026년03월_남_총인구수","2026년03월_남_연령구간인구수","2026년03월_남_0~9세","2026년03월_남_10~19세","2026년03월_남_20~29세","2026년03월_남_30~39세","2026년03월_남_40~49세","2026년03월_남_50~59세","2026년03월_남_60~69세","2026년03월_남_70~79세","2026년03월_남_80~89세","2026년03월_남_90~99세","2026년03월_남_100세 이상","2026년03월_여_총인구수","2026년03월_여_연령구간인구수","2026년03월_여_0~9세","2026년03월_여_10~19세","2026년03월_여_20~29세","2026년03월_여_30~39세","2026년03월_여_40~49세","2026년03월_여_50~59세","2026년03월_여_60~69세","2026년03월_여_70~79세","2026년03월_여_80~89세","2026년03월_여_90~99세","2026년03월_여_100세 이상"
"서울특별시  (1100000000)","9,304,400","9,304,400","456,732","720,532","1,244,285","1,465,489","1,359,551","1,465,982","1,318,774","843,052","371,068","57,476","1,459","4,480,938","4,480,938","234,552","367,102","581,304","731,780","671,979","720,648","625,631","379,647","151,419","16,565","311","4,823,462","4,823,462","222,180","353,430","662,981","733,709","687,572","745,334","693,143","463,405","219,649","40,911","1,148"
"서울특별시 강남구 (1168000000)","554,165","554,165","31,704","63,720","61,970","79,863","99,618","88,450","63,558","45,025","17,376","2,791","90","264,616","264,616","16,353","33,157","29,035","37,572","45,373","44,269","29,837","20,137","8,028","835","20","289,549","289,549","15,351","30,563","32,935","42,291","54,245","44,181","33,721","24,888","9,348","1,956","70"
"서울특별시 강남구 신사동(1168051000)","14,980","14,980","769","1,463","1,756","1,878","2,340","2,612","1,761","1,476","784","137","4","6,998","6,998","397","706","818","863","1,075","1,239","834","644","366","56","0","7,982","7,982","372","757","938","1,015","1,265","1,373","927","832","418","81","4"
"서울특별시 강남구 역삼1동(1168064000)","34,113","34,113","712","1,253","6,029","9,720","6,153","4,477","3,031","1,826","788","121","3","16,729","16,729","349","634","2,505","4,944","3,149","2,398","1,503","823","388","35","1","17,384","17,384","363","619","3,524","4,776","3,004","2,079","1,528","1,003","400","86","2"
"서울특별시 강남구 역삼2동(1168065000)","35,980","35,980","1,828","5,733","4,178","4,426","7,844","6,394","2,624","1,971","874","107","1","16,736","16,736","858","2,622","1,794","2,056","3,425","3,405","1,311","809","414","41","1","19,244","19,244","970","3,111","2,384","2,370","4,419","2,989","1,313","1,162","460","66","0"
"서울특별시 강남구 삼성1동(1168058000)","12,742","12,742","649","1,147","1,479","1,758","1,934","2,162","1,741","1,289","513","70","0","6,181","6,181","329","630","802","840","871","1,034","824","588","240","23","0","6,561","6,561","320","517","677","918","1,063","1,128","917","701","273","47","0"
"서울특별시 강남구 대치1동(1168060000)","23,572","23,572","1,406","5,339","2,091","1,218","5,154","4,268","2,102","1,445","471","76","2","11,825","11,825","738","2,980","1,122","494","2,170","2,307","1,041","703","247","23","0","11,747","11,747","668","2,359","969","724","2,984","1,961","1,061","742","224","53","2"
